id,intitule,dateCreation,departement,commune,ville,latitude,longitude,entreprise,typeContrat,typeContratLibelle,experienceLibelle,experienceExige,qualificationLibelle,romeCode,romeLibelle,secteurActiviteLibelle,salaire_libelle,competences_structurees,competences_detectees,nb_competences_detectees,sal_periode,sal_min,sal_max,sal_annuel_min,sal_annuel_max,sal_annuel_moyen
4208960,Data Engineer GCP - Services Financiers - Ile-de-France  (H/F),2026-06-25 05:30:51+00:00,75,75101,75 - Paris 1er Arrondissement,,,,CDI,CDI,0 An(s),E,Technicien,M1811,Data engineer,,,,SQL | Spark | Kafka | Airflow | GCP | BigQuery | Docker | Git,8,,,,,,
4208944,Manager - Data & AI engineer (H/F),2026-06-25 05:30:51+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,0 An(s),E,Technicien,M1811,Data engineer,,,,Databricks | AWS | Azure | GCP | Snowflake,5,,,,,,
4208884,Consultant.e Confirmé.e - Data Platform Engineer (H/F),2026-06-25 05:30:51+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,0 An(s),E,Technicien,M1811,Data engineer,,,,ETL | Databricks | AWS | Azure | GCP,5,,,,,,
4208880,Senior Consultant/Manager – Data Architect et/ou Data Engineer - H/F - CDI,2026-06-25 05:30:51+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,0 An(s),E,Technicien,M1868,Architecte base de données,,,,AWS | Azure | GCP,3,,,,,,
4159776,Data Engineer Spark Scala - Services Financiers - Ile-De-France (H/F),2026-06-24 02:55:00+00:00,92,92026,92 - Courbevoie,48.898112,2.238533,,CDI,CDI,Débutant accepté,D,,M1883,Analyste SOC (Security Operations Center),,,,Python | Scala | SAS | Spark | Hadoop | Hive | Kafka | Databricks | Azure,9,,,,,,
4073309,Alternance Data Engineer - Noisy-le-Grand (F/H) (H/F),2026-06-21 05:39:44+00:00,93,93051,93 - Noisy-le-Grand,48.83049,2.566899,,CDD,CDD - 12 Mois,Débutant accepté,D,,M1811,Data engineer,,,,Python | SQL | GCP | BigQuery,4,,,,,,
4073157,Alternance Data Engineer (data factory) - Boulogne-Billancourt (F/H) (H/F),2026-06-21 05:37:19+00:00,92,92012,92 - Boulogne-Billancourt,48.835948,2.240514,,CDD,CDD - 12 Mois,Débutant accepté,D,,M1811,Data engineer,,,,GCP,1,,,,,,
3899591,Data Engineer (H/F),2026-06-17 11:21:30+00:00,75,75113,75 - Paris 13e Arrondissement,48.832653,2.35548,,CDI,CDI,5 An(s),E,,M1868,Architecte base de données,,,,Python | SQL | Spark | dbt | AWS | Snowflake | Git,7,,,,,,
3882785,DATA Engineer senior - DCoE France (H/F),2026-06-17 07:13:31+00:00,92,92050,92 - Nanterre,48.897361,2.195135,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,Python | SQL | Java | Scala | ETL,5,,,,,,
3881964,Data Engineer PAM F/H/X - Paris,2026-06-17 07:04:12+00:00,75,75056,75 - Paris,,,Keolis,CDI,CDI,Expérience exigée,E,,M1811,Data engineer,Activités des sièges sociaux,,,Python | SQL | Power BI | Tableau | Looker | Excel,6,,,,,,
3871906,Data Engineer Spark Scala - Services Financiers - Ile-De-France (H/F),2026-06-17 04:31:57+00:00,92,92026,92 - Courbevoie,48.898112,2.238533,,CDI,CDI,Débutant accepté,D,,M1883,Analyste SOC (Security Operations Center),,,,Python | Scala | SAS | Spark | Hadoop | Hive | Kafka | Databricks | Azure,9,,,,,,
3871574,Data Engineer DBT Snowflake H/F,2026-06-17 04:31:32+00:00,92,92044,92 - Levallois-Perret,48.892818,2.287751,JEMS,CDI,CDI,Expérience exigée,E,Cadre,M1811,Data engineer,,Annuel de 45000.0 Euros à 60000.0 Euros,,Python | SQL | Airflow | dbt | AWS | Snowflake,6,Annuel,45000.0,60000.0,45000.0,60000.0,52500.0
3850813,Data Scientist / AI Engineer (H/F),2026-06-16 18:41:08+00:00,92,92044,92 - Levallois-Perret,48.892818,2.287751,,MIS,Intérim - 1 Mois,Débutant accepté,D,,M1811,Data engineer,Activités des agences de placement de main-d'œuvre,,,,0,,,,,,
3843438,Data Engineer Senior (H/F) CDI,2026-06-16 16:31:09+00:00,75,75056,75 - Paris,,,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,SQL | dbt | Snowflake | Power BI,4,,,,,,
3832536,Data Engineer - Expertise  : Spark/SQL/Snowflake/Databricks (H/F/NB),2026-06-16 11:21:25+00:00,92,92062,92 - Puteaux,48.884019,2.237979,,CDI,CDI,5 An(s),E,,M1868,Architecte base de données,,,,Python | SQL | Spark | Kafka | Airflow | ETL | Databricks | AWS | Azure | GCP | Snowflake | Machine Learning | Deep Learning | NLP | Docker | Kubernetes | Git,17,,,,,,
3765544,Data Engineer Confirmé(e) - expert PySpark  - Services Financiers - Ile de France  (H/F),2026-06-15 05:30:51+00:00,75,75101,75 - Paris 1er Arrondissement,,,,CDI,CDI,0 An(s),E,Technicien,M1811,Data engineer,,,,Python | R | SQL | Java | Scala | Spark | Hadoop | Kafka,8,,,,,,
3762912,Alternance - Data Engineer  H/F,2026-06-15 04:54:41+00:00,75,75114,75 - Paris 14e Arrondissement,48.828995,2.327101,"BRINKS, UAB",CDD,CDD - 24 Mois,Débutant accepté,D,,M1811,Data engineer,Transports routiers de fret de proximité,,,Python | SQL | ETL | Machine Learning | Pandas | Git,6,,,,,,
3732959,Tech Lead Data Engineer H/F,2026-06-12 12:14:25+00:00,92,92044,92 - Levallois-Perret,48.892818,2.287751,JEMS,CDI,CDI,Expérience exigée,E,Cadre,M1811,Data engineer,,Annuel de 50000.0 Euros à 75000.0 Euros,,Python | SQL | Java | Scala | Elasticsearch | Kafka | Talend | AWS | Azure | GCP | Git,11,Annuel,50000.0,75000.0,50000.0,75000.0,62500.0
3710437,Data Engineer F/H/X,2026-06-11 07:04:53+00:00,75,75056,75 - Paris,,,Keolis,CDI,CDI,Expérience exigée,E,,M1811,Data engineer,Activités des sièges sociaux,,,Python | SQL | NoSQL | Spark | Hadoop | ETL | Power BI | Tableau | Looker,9,,,,,,
3644402,Big Data Engineer - Services Financiers - Ile de France (H/F),2026-06-10 09:41:44+00:00,75,75056,75 - Paris,,,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,Python | R | Java | Scala | SAS | Spark | Hadoop | Hive | Kafka | Databricks | Talend | Azure | Power BI | Qlik,14,,,,,,
3618364,Data Engineer (F/H) - en alternance - MASSY (H/F),2026-06-10 03:31:36+00:00,91,91377,91 - Massy,48.730893,2.271256,,CDD,CDD - 12 Mois,Débutant accepté,D,,M1811,Data engineer,,,,SQL | dbt | ETL | GCP | Docker | Git | Linux,7,,,,,,
3591039,Data Engineer ETL Informatica - Grande DSI Assurance - H/F,2026-06-08 23:01:07+00:00,92,92050,92 - Nanterre,48.887956,2.225108,Externatic,CDI,CDI,3 An(s),E,,M1811,Data engineer,Conseil pour les affaires et autres conseils de gestion,Annuel de 50000.0 Euros à 60000.0 Euros,,Oracle | ETL | Linux,3,Annuel,50000.0,60000.0,50000.0,60000.0,55000.0
3535483,Data Engineer DataIku - Services Financiers – Ile-de-France (H/F),2026-06-06 05:30:57+00:00,75,75101,75 - Paris 1er Arrondissement,,,,CDI,CDI,0 An(s),E,Technicien,M1811,Data engineer,,,,Python | SQL | Spark | Hive | AWS | Azure | GCP | Git,8,,,,,,
3535486,Data Engineer Spark Scala - Services Financiers - Ile-De-France (H/F),2026-06-06 05:30:56+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,0 An(s),E,Technicien,M1814,Scrum Master,,,,Python | Scala | SAS | Spark | Hadoop | Hive | Kafka | Azure,8,,,,,,
3535476,Big Data Engineer - Services Financiers - Ile de France  (H/F),2026-06-06 05:30:56+00:00,75,75101,75 - Paris 1er Arrondissement,,,,CDI,CDI,0 An(s),E,Technicien,M1811,Data engineer,,,,Python | R | SQL | Java | Scala | SAS | Spark | Hadoop | Hive | Kafka | Databricks | Talend | Azure | Power BI | Qlik,15,,,,,,
3535128,Data Engineer Talend / PostgreSQL –  Défense & Sécurité – Île-de-France (H/F),2026-06-06 05:30:52+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,0 An(s),E,Technicien,M1811,Data engineer,,,,SQL | PostgreSQL | Talend,3,,,,,,
3534885,DATA Engineer senior - DCoE France (H/F),2026-06-06 05:00:37+00:00,92,92050,92 - Nanterre,48.897361,2.195135,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,Python | SQL | Java | Scala | ETL,5,,,,,,
3494727,Lead Data Engineer Snowflake H/F - CDI h/f,2026-06-05 12:45:20+00:00,75,,75 - Paris,,,,CDI,CDI,Expérience exigée,E,,M1811,Data engineer,,,,Python | SQL | Snowflake,3,,,,,,
3461994,Tech Lead Data Engineer GCP - Paris (H/F),2026-06-04 21:43:49+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,Python | SQL | Spark | Hadoop | GCP | BigQuery | Looker,7,,,,,,
3314585,Calibration Data Infrastructure Engineer (H/F),2026-06-02 11:21:38+00:00,75,75115,75 - Paris 15e Arrondissement,48.841401,2.300274,,CDI,CDI,2 An(s),E,,M1868,Architecte base de données,,,,Python | Spark | Pandas,3,,,,,,
4254383,Ingénieur Data (f/h),2026-06-26 04:31:35+00:00,92,92062,92 - Puteaux,48.884019,2.237979,FREELANCE.COM,CDI,CDI,Expérience exigée,E,Cadre,M1811,Data engineer,,,,Python | SQL | JavaScript | PostgreSQL | MySQL | MongoDB | Spark | Airflow | dbt | Databricks | AWS | Redshift,12,,,,,,
4164419,Senior Signal Integrity Engineer (F/H) (H/F),2026-06-24 04:50:47+00:00,91,91534,91 - Saclay,48.753227,2.181166,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,R,1,,,,,,
4130973,Data manager (H/F),2026-06-23 08:38:33+00:00,78,78208,78 - Élancourt,48.768309,1.949364,,CDI,CDI,3 An(s),E,,M1811,Data engineer,,,,Python | SQL | Java | PostgreSQL | Oracle | SQL Server | MongoDB | NoSQL | ETL | Talend | Data Visualization,11,,,,,,
4127119,"Chef de Projet Data F/H - Système, réseaux, données (H/F)",2026-06-23 06:52:08+00:00,92,92026,92 - Courbevoie,48.898112,2.238533,MICHAEL PAGE INTERNATIONAL FRANCE,CDI,CDI,Débutant accepté,D,Cadre,M1811,Data engineer,Accueil ou accompagnement sans hébergement d'adultes handicapés ou de personnes âgées,,,Python | Spark | Power BI,3,,,,,,
4018767,DATA STEWARD  ADMINISTRATEUR DU CATALOGUE DES ÉTUDES EN SANTÉ (SIÈGE) - H/F,2026-06-19 19:33:54+00:00,75,75113,75 - Paris 13e Arrondissement,48.832653,2.35548,Inserm,CDD,CDD - 12 Mois,2 An(s),E,,M1811,Data engineer,Recherche-développement en autres sciences physiques et naturelles,,,Python | R,2,,,,,,
3831012,Data manager (H/F),2026-06-16 10:55:33+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,CDI,CDI,1 An(s),E,,M1811,Data engineer,,Annuel de 50000.0 Euros à 65000.0 Euros,,Python | SQL | dbt | ETL | AWS,5,Annuel,50000.0,65000.0,50000.0,65000.0,57500.0
3755674,Cegedim - Ingénieur / Ingénieure big data (H/F),2026-06-14 21:20:49+00:00,92,92012,92 - Boulogne-Billancourt,48.835948,2.240514,Cegedim,CDI,CDI,5 An(s),E,,M1811,Data engineer,"Traitement de données, hébergement et activités connexes",,,Python | SQL | SQL Server | Elasticsearch | Airflow | ETL | Pandas | Docker | Kubernetes | Git,10,,,,,,
3614593,Consultant.e AI Engineer F/H - Valoway,2026-06-09 21:33:38+00:00,75,,75 - Paris,,,Valoway,CDI,CDI,5 An(s),E,,M1405,Data scientist,Conseil en systèmes et logiciels informatiques,,,SQL | NoSQL | Spark | Azure | Machine Learning | TensorFlow | PyTorch,7,,,,,,
3605640,Data manager (H/F),2026-06-09 09:39:16+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,CDI,CDI,3 An(s),E,,M1811,Data engineer,,,,Python | AWS,2,,,,,,
3553889,Data manager (H/F),2026-06-06 11:48:54+00:00,92,,92 - Hauts-de-Seine,,,,CDI,CDI,3 An(s),E,,M1811,Data engineer,,,,Python | SQL | Java | Scala | ETL,5,,,,,,
4348196,Architecte Data H / F (H/F),2026-06-28 07:53:20+00:00,94,94069,94 - Saint-Maurice,48.814865,2.45893,,MIS,Intérim - 1 Mois,Débutant accepté,D,,M1811,Data engineer,Activités des agences de placement de main-d'œuvre,,,,0,,,,,,
4340723,Consultant(e) Manager Data & (Gen)AI Stratégie - F/H h/f,2026-06-27 22:29:02+00:00,75,,75 - Paris,,,,CDI,CDI,Expérience exigée,E,,M1811,Data engineer,,,,,0,,,,,,
4316752,Data manager (H/F),2026-06-27 12:30:33+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,LIB,Profession libérale,6 An(s),E,,M1811,Data engineer,,,,SQL | GCP,2,,,,,,
4311831,Data manager (H/F),2026-06-27 09:36:17+00:00,92,,92 - Hauts-de-Seine,,,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,Python | SQL | Oracle | ETL | Machine Learning | Docker | Kubernetes | Git,8,,,,,,
4311308,Data Manager (H/F),2026-06-27 09:35:06+00:00,91,91215,91 - Épinay-sous-Sénart,48.694837,2.51473,,CDI,CDI,6 An(s),E,,M1811,Data engineer,,Annuel de 50000.0 Euros à 60000.0 Euros,,SQL,1,Annuel,50000.0,60000.0,50000.0,60000.0,55000.0
4310624,Data manager (H/F),2026-06-27 09:33:38+00:00,75,,75 - Paris,,,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,Annuel de 50000.0 Euros à 70000.0 Euros,,Machine Learning,1,Annuel,50000.0,70000.0,50000.0,70000.0,60000.0
4310007,Data Manager (H/F),2026-06-27 09:31:54+00:00,95,95063,95 - Bezons,48.92779,2.216126,,CDI,CDI,6 An(s),E,,M1811,Data engineer,,Annuel de 50000.0 Euros à 60000.0 Euros,,SQL,1,Annuel,50000.0,60000.0,50000.0,60000.0,55000.0
4309970,Data manager (H/F),2026-06-27 09:31:48+00:00,91,,91 - Essonne,,,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,Python | SQL | Matlab | Pandas | NumPy | Git,6,,,,,,
4239811,Data Platform Manager (F/H) (H/F),2026-06-25 15:37:03+00:00,92,92062,92 - Puteaux,48.884019,2.237979,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,Python | SQL | Scala | Spark | Databricks | Azure,6,,,,,,
4230703,Architecte Data (H/F),2026-06-25 09:42:30+00:00,92,,92 - Hauts-de-Seine,,,,CDI,CDI,1 An(s),E,,M1811,Data engineer,,,,ETL | Databricks | AWS | Azure | GCP,5,,,,,,
4230025,Data Manager (H/F),2026-06-25 09:35:43+00:00,78,78640,78 - Vélizy-Villacoublay,48.797269,2.194266,,CDI,CDI,6 An(s),E,,M1811,Data engineer,,Annuel de 50000.0 Euros à 60000.0 Euros,,SQL,1,Annuel,50000.0,60000.0,50000.0,60000.0,55000.0
4221506,Architecte Data (H/F),2026-06-25 07:30:23+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,CDI,CDI,3 An(s),E,,M1811,Data engineer,,,,,0,,,,,,
4208967,Manager - Data & AI Platform Architect (H/F),2026-06-25 05:30:51+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,0 An(s),E,Technicien,M1811,Data engineer,,,,ETL | Databricks | AWS | Azure | GCP,5,,,,,,
4208908,Manager - Data & AI strategy (H/F),2026-06-25 05:30:51+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,0 An(s),E,Technicien,M1811,Data engineer,,,,,0,,,,,,
4163552,Responsable Master Data (F/H) (H/F),2026-06-24 04:33:00+00:00,75,75056,75 - Paris,,,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,,0,,,,,,
4161920,Consultant(e) Senior / Manager Data - Gouvernance de données (H/F),2026-06-24 04:05:58+00:00,92,92026,92 - Courbevoie,48.901819,2.267542,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,,0,,,,,,
4153568,Harmonie Mutuelle - Data manager (H/F),2026-06-23 21:20:53+00:00,92,92020,92 - Châtillon,48.799654,2.289749,,CDI,CDI,5 An(s),E,,M1811,Data engineer,Autres assurances,,,Python | SAS,2,,,,,,
4074540,Ingénieur Data Confirmé H/F,2026-06-21 05:55:05+00:00,92,92062,92 - Puteaux,48.884019,2.237979,,MIS,Intérim - 1 Mois,Débutant accepté,D,,M1811,Data engineer,Activités des agences de placement de main-d'œuvre,,,,0,,,,,,
4066646,Consultant(e) Senior - Data Architect Expert Microsoft (MSBI / Fabric) (H/F),2026-06-21 02:42:00+00:00,92,92026,92 - Courbevoie,48.901819,2.267542,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,SQL | Azure | Power BI | Tableau | DAX | Power Query,6,,,,,,
4064149,Senior Data Quality Manager - Corporate Operations - People Data (f/m/d) (H/F),2026-06-20 20:32:54+00:00,75,75056,75 - Paris,,,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,Python | SQL | Databricks | AWS | Tableau,5,,,,,,
4041859,Senior Data Quality Manager – Corporate Operations – People Data (f/m/d) (H/F),2026-06-20 07:04:39+00:00,75,75056,75 - Paris,,,DECATHLON,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,Location de terrains et d'autres biens immobiliers,,,Python | SQL | Databricks | AWS | Tableau,5,,,,,,
3962026,Data Manager (H/F),2026-06-18 12:32:20+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,CDI,CDI,1 An(s),E,,M1811,Data engineer,,Annuel de 45000.0 Euros à 60000.0 Euros,,,0,Annuel,45000.0,60000.0,45000.0,60000.0,52500.0
3960678,Chef de projet data (H/F),2026-06-18 11:49:47+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,CDI,CDI,3 An(s),E,,M1811,Data engineer,,,,,0,,,,,,
3953492,Responsable big data (H/F),2026-06-18 11:01:54+00:00,92,,92 - Hauts-de-Seine,,,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,Fabrication d'armes et de munitions,,,,0,,,,,,
3948548,Data manager (H/F),2026-06-18 07:41:05+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,CDI,CDI,3 An(s),E,,M1811,Data engineer,,,,Python | R | SQL | Java | Scala | Spark | Hadoop | Kafka,8,,,,,,
3904211,Data Officer H/F,2026-06-17 14:35:33+00:00,92,92049,92 - Montrouge,48.818761,2.320528,,CDD,CDD - 6 Mois,2 An(s),E,Cadre,M1811,Data engineer,Conseil pour les affaires et autres conseils de gestion,Annuel de 35000.0 Euros à 45000.0 Euros,,Excel,1,Annuel,35000.0,45000.0,35000.0,45000.0,40000.0
3899570,Data Manager Industriel (H/F),2026-06-17 11:21:30+00:00,91,91377,91 - Massy,48.730893,2.271256,,CDI,CDI,2 An(s),E,,M1811,Data engineer,,,,,0,,,,,,
3883477,Ingénieur(e) Data et Architecte Plateforme (H/F),2026-06-17 07:27:21+00:00,95,95018,95 - Argenteuil,48.947746,2.248868,,MIS,Intérim - 1 Mois,Débutant accepté,D,,M1811,Data engineer,Activités des agences de placement de main-d'œuvre,,,Python | SQL | ETL | Snowflake | Tableau | Data Visualization,6,,,,,,
3871621,Expert data AWS/AZURE/DATABRICKS H/F,2026-06-17 04:31:32+00:00,92,92044,92 - Levallois-Perret,48.892818,2.287751,JEMS,CDI,CDI,Expérience exigée,E,Cadre,M1811,Data engineer,,Annuel de 45000.0 Euros à 65000.0 Euros,,Python | SQL | Spark | Databricks | AWS | Azure | Git,7,Annuel,45000.0,65000.0,45000.0,65000.0,55000.0
3869680,Tech Lead DATA (H/F/X),2026-06-17 03:33:29+00:00,92,92049,92 - Montrouge,48.818761,2.320528,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,ETL,1,,,,,,
3830801,Chef de projet data (H/F),2026-06-16 10:48:27+00:00,92,,92 - Hauts-de-Seine,,,,CDI,CDI,6 An(s),E,,M1811,Data engineer,,,,SQL,1,,,,,,
3820673,Data Manager Achats P2P F/H (H/F),2026-06-16 07:47:45+00:00,91,91377,91 - Massy,48.727791,2.275131,Safran,CDI,CDI,5 An(s),E,,M1811,Data engineer,Défense,,,,0,,,,,,
3803826,Data manager (H/F),2026-06-16 04:50:22+00:00,92,92063,92 - Rueil-Malmaison,48.871705,2.202508,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,Annuel de 55000.0 Euros à 60000.0 Euros,,,0,Annuel,55000.0,60000.0,55000.0,60000.0,57500.0
3785639,Elsan - Data manager (H/F),2026-06-15 21:21:28+00:00,75,75108,75 - Paris 8e Arrondissement,48.877495,2.317589,,CDD,CDD - 6 Mois,2 An(s),E,,M1811,Data engineer,Activités des sociétés holding,,,R | Excel,2,,,,,,
3736761,Consulting Manager – Data Management – Paris (H/F),2026-06-12 12:14:58+00:00,75,75101,75 - Paris 1er Arrondissement,,,,CDI,CDI,10 An(s),E,Cadre,M1811,Data engineer,,,,,0,,,,,,
3724888,Delivery Manager Data & IA (H/F/NB),2026-06-11 11:21:36+00:00,92,92062,92 - Puteaux,48.884019,2.237979,,CDI,CDI,5 An(s),E,,M1811,Data engineer,,,,ETL | Talend | Machine Learning | Deep Learning | NLP,5,,,,,,
3722047,Data manager (H/F),2026-06-11 10:47:25+00:00,93,93048,93 - Montreuil,48.866597,2.477767,,LIB,Profession libérale,3 An(s),E,,M1811,Data engineer,,,,Python | Docker | Kubernetes | Git,4,,,,,,
3617221,Tech Lead DATA (H/F) CDI,2026-06-10 03:01:33+00:00,75,75056,75 - Paris,,,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,dbt | Snowflake | Power BI,3,,,,,,
3606465,Data manager (H/F),2026-06-09 09:42:28+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,CDI,CDI,3 An(s),E,,M1811,Data engineer,,,,,0,,,,,,
3553963,Data manager (H/F),2026-06-06 11:49:37+00:00,92,,92 - Hauts-de-Seine,,,,CDI,CDI,6 An(s),E,,M1811,Data engineer,,,,SQL | PostgreSQL | Talend,3,,,,,,
3535516,Architecte DATA – Services Financiers - Ile de France (H/F),2026-06-06 05:30:57+00:00,75,75101,75 - Paris 1er Arrondissement,,,,CDI,CDI,0 An(s),E,Technicien,M1811,Data engineer,,,,Python | Java | NoSQL | Spark | Hadoop | Kafka | ETL | AWS | Azure | Git,10,,,,,,
3495065,Architecte Data Platform H/F - CDI h/f,2026-06-05 12:48:16+00:00,75,,75 - Paris,,,,CDI,CDI,Expérience exigée,E,,M1811,Data engineer,,,,,0,,,,,,
3460194,Consultant Data (F/H) - apprentissage (H/F),2026-06-04 21:33:32+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,,0,,,,,,
3444111,Data manager (H/F),2026-06-04 13:42:47+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,CDI,CDI,6 An(s),E,,M1811,Data engineer,,Annuel de 45000.0 Euros à 50000.0 Euros,,,0,Annuel,45000.0,50000.0,45000.0,50000.0,47500.0
3436824,Directeur du Développement Data Center (H/F),2026-06-04 10:01:57+00:00,94,94041,94 - Ivry-sur-Seine,48.811987,2.3875,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,Annuel de 100000.0 Euros à 110000.0 Euros,,,0,Annuel,100000.0,110000.0,100000.0,110000.0,105000.0
3367056,Alternance - appui data et ia F/H (H/F),2026-06-03 09:27:12+00:00,92,92062,92 - Puteaux,48.884019,2.237979,,CDD,CDD - 12 Mois,Débutant accepté,D,,M1811,Data engineer,,,,Power BI | DAX | Data Visualization,3,,,,,,
3288069,Technical Consultant – Expert Data – Paris (H/F),2026-06-02 05:30:54+00:00,75,75101,75 - Paris 1er Arrondissement,,,,CDI,CDI,10 An(s),E,Cadre,M1811,Data engineer,,,,Java | AWS | Azure | GCP,4,,,,,,
4348800,Ingénieur d'Études Système - Supervision (Panorama E2 et PC Vue) (H/F),2026-06-28 08:00:51+00:00,94,94065,94 - Rungis,48.748487,2.347405,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,,0,,,,,,
4347415,Apprenti Création d'agents LLM (Large Language Model) pour optimiser les outils de reporting (H/F),2026-06-28 07:47:35+00:00,93,93001,93 - Aubervilliers,48.914557,2.381792,,MIS,Intérim - 1 Mois,Débutant accepté,D,,M1811,Data engineer,Activités des agences de placement de main-d'œuvre,,,,0,,,,,,
4336032,Consultant Analytics & IA Transverse DCoE - France (H/F),2026-06-27 19:59:27+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,Python | SQL | Java | Scala | Databricks | AWS | Azure | GCP | Snowflake | Docker | Kubernetes,11,,,,,,
4162760,Contract Manager - Datacenter (H/F),2026-06-24 04:31:28+00:00,93,93051,93 - Noisy-le-Grand,48.83049,2.566899,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,,0,,,,,,
4072857,Consultant Analytics & IA Transverse DCoE - France (H/F),2026-06-21 05:06:02+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,Python | SQL | Java | Scala | Databricks | AWS | Azure | GCP | Snowflake | Docker | Kubernetes,11,,,,,,
3765533,Architecte Solution Databricks (F/H),2026-06-15 05:30:51+00:00,95,95063,95 - Bezons,48.92779,2.216126,,CDI,CDI,10 An(s),E,Cadre,M1811,Data engineer,,,,Databricks | AWS | Azure,3,,,,,,
3752185,POST-DOCTORANT EN MODÉLISATION STATISTIQUE - H/F,2026-06-14 19:34:05+00:00,75,75115,75 - Paris 15e Arrondissement,48.841401,2.300274,Inserm,CDD,CDD - 10 Mois,1 An(s),E,,M1811,Data engineer,Recherche-développement en autres sciences physiques et naturelles,Mensuel de 2985.82 Euros à 4380.2 Euros,,Python | R,2,Mensuel,2985.82,4380.2,35830.0,52562.0,44196.0
3733455,Chargé(e) de marketing opérationnel et merchandising (H/F) - Alternance,2026-06-12 12:14:29+00:00,95,95527,95 - Roissy-en-France,49.004168,2.514943,PROJECT X PARIS,CDD,CDD - 24 Mois,Débutant accepté,D,,M1811,Data engineer,,,,Excel,1,,,,,,
3346343, Business Developer B2B  (H/F),2026-06-03 03:01:19+00:00,75,75113,75 - Paris 13e Arrondissement,48.832653,2.35548,,CDD,CDD - 24 Mois,Débutant accepté,D,,M1811,Data engineer,,Annuel de 9500.0 Euros à 16000.0 Euros,,,0,Annuel,9500.0,16000.0,9500.0,16000.0,12750.0
4298890,Analyste qualité des données (H/F),2026-06-27 05:31:27+00:00,78,78423,78 - Montigny-le-Bretonneux,48.781965,2.0452,ESP SECURITE,CDD,CDD - 12 Mois,Débutant accepté,D,Cadre,M1811,Data engineer,,,,,0,,,,,,
4187302,INGÉNIEUR STANDARDISATION DES DONNÉES - H/F,2026-06-24 19:33:48+00:00,75,75113,75 - Paris 13e Arrondissement,48.832653,2.35548,Inserm,CDD,CDD - 6 Mois,1 An(s),E,,M1811,Data engineer,Recherche-développement en autres sciences physiques et naturelles,Mensuel de 2494.0 Euros à 3640.0 Euros,,Python | R | SQL | Git,4,Mensuel,2494.0,3640.0,29928.0,43680.0,36804.0
