id,intitule,dateCreation,departement,commune,ville,latitude,longitude,entreprise,typeContrat,typeContratLibelle,experienceLibelle,experienceExige,qualificationLibelle,romeCode,romeLibelle,secteurActiviteLibelle,salaire_libelle,competences_structurees,competences_detectees,nb_competences_detectees,sal_periode,sal_min,sal_max,sal_annuel_min,sal_annuel_max,sal_annuel_moyen
3663445,"Data Steward/Analyst Fleet Management & Plans de Dépose F/H - Système, réseaux, données (H/F)",2026-06-10 16:07:11+00:00,77,77306,77 - Montereau-sur-le-Jard,48.597229,2.686574,Safran Aircraft Engines,CDI,CDI,3 An(s),E,Cadre,M1405,Data scientist,Construction aéronautique et spatiale,,,SQL | Power BI | Tableau | Data Visualization,4,,,,,,
3660397,ALTERNANT- Product Owner Data Analyst H/F,2026-06-10 15:45:33+00:00,92,92024,92 - Clichy,46.227638,2.213749,HUTCHINSON France,CDD,CDD - 12 Mois,Débutant accepté,D,,H2504,Chef / Cheffe d'équipe en industrie,Fabrication d'autres articles en caoutchouc,,,,0,,,,,,
3614109,LAFORET FRANCE - Data analyst (H/F),2026-06-09 21:21:43+00:00,75,75114,75 - Paris 14e Arrondissement,48.832769,2.325738,,CDI,CDI,2 An(s),E,,M1419,Data analyst,Agences immobilières,,,Python | SQL | Power BI | Looker | Excel,5,,,,,,
3613995,Data Analyst H/F en alternance,2026-06-09 21:00:42+00:00,94,94028,94 - Créteil,48.802178,2.455567,,CDI,CDI,Débutant accepté,D,Cadre,M1419,Data analyst,,,,Excel | Data Visualization,2,,,,,,
3542641,Data analyst (H/F),2026-06-06 09:36:16+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,CDI,CDI,Débutant accepté,D,,M1419,Data analyst,,,,Talend | Qlik | Data Visualization,3,,,,,,
3535457,Business Analyst Data - MDM Informatica - Services Financiers - Ile-de-France (H/F),2026-06-06 05:30:56+00:00,75,75101,75 - Paris 1er Arrondissement,,,,CDI,CDI,0 An(s),E,Technicien,M1419,Data analyst,,,,SQL,1,,,,,,
3521457,Data analyst & Chef(fe) de projet merchandising  H/F,2026-06-06 01:01:58+00:00,77,77407,77 - Saint-Fargeau-Ponthierry,48.529976,2.543941,CPI GLOBAL,CDI,CDI,3 An(s),E,,M1419,Data analyst,Fabrication de cartonnages,Annuel de 30000.0 Euros à 35000.0 Euros sur 12.0 mois,,SQL | Power BI | Excel,3,Annuel,30000.0,35000.0,30000.0,35000.0,32500.0
3488356,Alternance Data Analyst / Automatisation des Processus - Arcueil (F/H) (H/F),2026-06-05 10:02:41+00:00,94,94003,94 - Arcueil,48.804427,2.33492,,CDD,CDD - 12 Mois,Débutant accepté,D,,M1419,Data analyst,,,,Python | SQL,2,,,,,,
3461497,SNCF - Data Analyst Santé Sécurité au Travail (H/F),2026-06-04 21:40:37+00:00,93,93066,93 - Saint-Denis,48.908581,2.358962,,CDD,CDD - 12 Mois,Débutant accepté,D,Cadre,M1419,Data analyst,,,,Python | Data Visualization,2,,,,,,
3379740,RH Data Analyst et Project Manager (F/H) (H/F),2026-06-03 13:49:36+00:00,75,,75 - Paris,48.862629,2.336293,Michael Page Interim,CDD,CDD - 6 Mois,1 An(s),E,,M1419,Data analyst,Commerce de détail d'habillement en magasin spécialisé,Annuel de 60000.0 Euros à 70000.0 Euros sur 6.0 mois,,Power BI | Excel | Data Visualization,3,Annuel,60000.0,70000.0,60000.0,70000.0,65000.0
3371037,Alternance Data Analyst / Automatisation des Processus - Arcueil (H/F),2026-06-03 11:21:31+00:00,94,94003,94 - Arcueil,48.804427,2.33492,,CDD,CDD - 12 Mois,1 An(s),E,,M1419,Data analyst,,,,Python | SQL | Power BI | Tableau | Data Visualization,5,,,,,,
3265272,CPAM des Yvelines - Data analyst (H/F),2026-06-01 21:20:42+00:00,78,78646,78 - Versailles,48.801228,2.130076,,CDI,CDI,2 An(s),E,,M1419,Data analyst,Activités générales de sécurité sociale,,,Excel | Data Visualization,2,,,,,,
3832682,Business Analyst technique IA / RAG (H/F),2026-06-16 11:21:26+00:00,94,94046,94 - Maisons-Alfort,48.800972,2.430532,,CDI,CDI,9 An(s),E,,M1419,Data analyst,,,,AWS | Azure | Kubernetes,3,,,,,,
3312991,Business Analyst Junior F/H (H/F),2026-06-02 11:06:27+00:00,78,78640,78 - Vélizy-Villacoublay,48.783985,2.197075,Eiffage,CDI,CDI,1 An(s),E,,M1419,Data analyst,Construction d'autres bâtiments,,,Python | SQL | PostgreSQL | SQL Server | Power BI | Excel | Power Query | Data Visualization,8,,,,,,
4300917,Alternance - Analyst Revenue Operations & Sales Performance H/F,2026-06-27 05:39:35+00:00,75,75109,75 - Paris 9e Arrondissement,48.859295,2.345581,Pluxee,CDD,CDD - 12 Mois,Débutant accepté,D,,G1211,Analyste de la performance sportive,Intermédiaires spécialisés dans le commerce d'autres produits spécifiques,,,,0,,,,,,
4262427,Business Analyst - Calypso (H/F),2026-06-26 11:21:28+00:00,92,92049,92 - Montrouge,48.818761,2.320528,Act Digital France,CDI,CDI,5 An(s),E,,M1419,Data analyst,,,,,0,,,,,,
4234913,Analyste data (H/F),2026-06-25 11:35:57+00:00,77,77251,77 - Lieusaint,48.63147,2.551185,,CDI,CDI,3 An(s),E,,M1419,Data analyst,,,,SQL,1,,,,,,
4110418,Data / Analytics Engineer - AWS / Databricks - Economie circulaire - H/F,2026-06-22 23:01:13+00:00,92,92026,92 - Courbevoie,48.898112,2.238533,Externatic,CDI,CDI,3 An(s),E,,M1419,Data analyst,Conseil pour les affaires et autres conseils de gestion,Annuel de 45000.0 Euros à 50000.0 Euros,,Python | SQL | Spark | Airflow | Databricks | AWS | Power BI | Tableau,8,Annuel,45000.0,50000.0,45000.0,50000.0,47500.0
4055520,Business analyst (H/F),2026-06-20 14:34:34+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,CDD,CDD - 12 Mois,Débutant accepté,D,Employé qualifié,M1419,Data analyst,Autres assurances,,,Excel,1,,,,,,
4052007,Business Analyst IA (H/F),2026-06-20 11:21:28+00:00,94,94018,94 - Charenton-le-Pont,48.819716,2.41612,,CDI,CDI,Débutant accepté,D,,M1419,Data analyst,,,,,0,,,,,,
3941310,Alternance - Data Scientist et Digitalisation H/F,2026-06-18 05:40:07+00:00,91,91692,91 - Ulis,48.679298,2.1665,LFB,CDD,CDD - 12 Mois,Débutant accepté,D,,M1419,Data analyst,Fabrication de produits pharmaceutiques de base,,,Python | C# | JavaScript | Machine Learning,4,,,,,,
